[0.000000] (-) TimerEvent: {}
[0.000573] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000587] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000602] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000617] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000631] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000646] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000660] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000675] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000690] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000704] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000719] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000733] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000748] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000762] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000777] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000791] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000806] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000820] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000835] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000849] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000864] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000878] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000892] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000907] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000922] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000936] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000950] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001005] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001035] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001107] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001124] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001139] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001154] (-) JobUnselected: {'identifier': 'mpu_6050'}
[0.001169] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001184] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001199] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001214] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001228] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001243] (-) JobUnselected: {'identifier': 'techman_robot_msgs'}
[0.001258] (-) JobUnselected: {'identifier': 'tm_description'}
[0.001272] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.001287] (-) JobUnselected: {'identifier': 'tm_get_status'}
[0.001302] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.001317] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12'}
[0.001331] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12x'}
[0.001345] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14'}
[0.001366] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14x'}
[0.001381] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-700'}
[0.001395] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-900'}
[0.001410] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-700'}
[0.001424] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-900'}
[0.001438] (-) JobUnselected: {'identifier': 'tm_moveit_cpp_demo'}
[0.001453] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.001467] (-) JobUnselected: {'identifier': 'ui_for_debug_and_demo'}
[0.001576] (-) EventReactorShutdown: {}
