[0.000000] (-) TimerEvent: {}
[0.001785] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12x'}
[0.001799] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14'}
[0.001813] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14x'}
[0.001833] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-700'}
[0.001849] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-900'}
[0.001863] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-700'}
[0.001878] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-900'}
[0.001893] (-) JobUnselected: {'identifier': 'tm_moveit_cpp_demo'}
[0.001907] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.001921] (-) JobUnselected: {'identifier': 'ui_for_debug_and_demo'}
[0.001939] (mpu_6050) JobQueued: {'identifier': 'mpu_6050', 'dependencies': OrderedDict()}
[0.001957] (mpu_6050) JobStarted: {'identifier': 'mpu_6050'}
[0.099741] (-) TimerEvent: {}
[0.200119] (-) TimerEvent: {}
[0.216514] (mpu_6050) StderrLine: {'line': b'Traceback (most recent call last):\n  File "/usr/lib/python3/dist-packages/colcon_core/executor/__init__.py", line 91, in __call__\n    rc = await self.task(*args, **kwargs)\n  File "/usr/lib/python3/dist-packages/colcon_core/task/__init__.py", line 93, in __call__\n    return await task_method(*args, **kwargs)\n  File "/usr/lib/python3/dist-packages/colcon_ros/task/ament_python/build.py", line 102, in build\n    return await extension.build(additional_hooks=additional_hooks)\n  File "/usr/lib/python3/dist-packages/colcon_core/task/python/build.py", line 85, in build\n    available_commands = await self._get_available_commands(\n  File "/usr/lib/python3/dist-packages/colcon_core/task/python/build.py", line 175, in _get_available_commands\n    output = await check_output(\n  File "/usr/lib/python3/dist-packages/colcon_core/subprocess.py", line 129, in check_output\n    assert not rc, f\'Expected {args} to pass: {stderr_data}\'\nAssertionError: Expected [\'/usr/bin/python3\', \'setup.py\', \'--help-commands\'] to pass: /usr/bin/python3: can\'t open file \'/home/sazma/ws_future/src/MPU_6050/setup.py\': [Errno 2] No such file or directory\n\n'}
[0.216830] (mpu_6050) JobEnded: {'identifier': 'mpu_6050', 'rc': 1}
[0.227133] (-) EventReactorShutdown: {}
